ShowOriginal,Theatre,WeekEnd,Weekly Total Attendance,Weekly Grosses,Numberof Performances,Number of Performances,Percent Capacity,ShowCaseCorrected,Show,RerunYear,Run
THE PLAY THAT GOES WRONG,Lyceum,2018-01-07,5844,453677,8,0,0.86,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-01-14,5435,418670,8,0,0.80,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-01-21,5122,338041,8,0,0.75,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-01-28,5180,343416,8,0,0.76,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-02-04,4556,295911,8,0,0.67,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-02-11,4060,237858,8,0,0.59,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-02-18,5341,377776,8,0,0.78,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-02-25,5867,365659,8,0,0.86,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-03-04,4462,249414,8,0,0.65,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-03-11,4368,303968,8,0,0.64,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-03-18,5796,361549,8,0,0.85,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-03-25,4913,327696,8,0,0.72,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-04-01,6196,431330,8,0,0.91,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-04-08,6232,446582,8,0,0.91,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-04-15,4712,314104,8,0,0.69,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-04-22,5067,316767,8,0,0.74,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-04-29,4674,309855,8,0,0.68,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-05-06,3647,241751,8,0,0.53,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-05-13,4820,314323,8,0,0.71,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-05-20,5168,337481,8,0,0.76,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-05-27,5003,340105,8,0,0.73,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-06-03,4724,312664,8,0,0.69,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-06-10,5189,365986,8,0,0.76,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-06-17,5662,379797,8,0,0.83,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-06-24,5799,413780,8,0,0.85,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-07-01,5250,349077,8,0,0.77,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-07-08,5552,357180,8,0,0.81,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-07-15,5243,341040,8,0,0.77,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-07-22,5501,344449,8,0,0.81,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-07-29,5848,378859,8,0,0.86,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-08-05,5753,375052,8,0,0.84,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-08-12,5359,357151,8,0,0.78,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-08-19,5039,327158,8,0,0.74,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-08-26,4770,310524,8,0,0.70,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-09-02,4625,306497,8,0,0.68,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-09-09,4454,278953,8,0,0.65,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-09-16,4829,296681,8,0,0.71,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-09-23,4812,266179,8,0,0.70,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-09-30,4743,263008,8,0,0.69,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-10-07,4919,298898,8,0,0.72,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-10-14,4640,300432,8,0,0.68,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-10-21,5009,322549,8,0,0.73,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-10-28,4744,288335,8,0,0.69,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-11-04,3959,226491,8,0,0.58,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-11-11,5146,326464,8,0,0.75,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-11-18,4215,251432,8,0,0.62,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-11-25,5827,446544,8,0,0.85,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-12-02,4534,283366,8,0,0.66,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-12-09,4723,310882,8,0,0.69,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-12-16,5049,324991,8,0,0.74,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-12-23,5286,380378,8,0,0.77,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2018-12-30,6650,623414,8,0,0.97,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PLAY THAT GOES WRONG,Lyceum,2019-01-06,6033,497221,8,0,0.88,The Play That Goes Wrong,The Play That Goes Wrong,,Original
THE PRESENT,Ethel Barrymore,2016-12-18,1051,151686,0,1,1.00,The Present,The Present,,Original
THE PRESENT,Ethel Barrymore,2016-12-25,7129,943984,0,7,0.97,The Present,The Present,,Original
THE PRESENT,Ethel Barrymore,2017-01-01,7367,969495,0,7,1.00,The Present,The Present,,Original
THE PRESENT,Ethel Barrymore,2017-01-15,8001,1030574,8,0,0.95,The Present,The Present,,Original
THE PRESENT,Ethel Barrymore,2017-01-22,7354,977495,8,0,0.87,The Present,The Present,,Original
THE PRESENT,Ethel Barrymore,2017-01-29,7116,930984,8,0,0.84,The Present,The Present,,Original
THE PRESENT,Ethel Barrymore,2017-02-19,6211,744632,8,0,0.74,The Present,The Present,,Original
THE PRESENT,Ethel Barrymore,2017-02-26,5587,633792,8,0,0.66,The Present,The Present,,Original
THE PRESENT,Ethel Barrymore,2017-03-19,6496,799226,8,0,0.77,The Present,The Present,,Original
THE PRESENT,Ethel Barrymore,2017-05-02,6075,766201,8,0,0.72,The Present,The Present,,Original
THE PRESENT,Ethel Barrymore,2017-05-03,5741,639319,8,0,0.68,The Present,The Present,,Original
THE PRESENT,Ethel Barrymore,2017-08-01,8324,929215,1,7,0.99,The Present,The Present,,Original
THE PRESENT,Ethel Barrymore,2017-12-02,5620,700550,8,0,0.67,The Present,The Present,,Original
THE PRESENT,Ethel Barrymore,2017-12-03,5941,663836,8,0,0.71,The Present,The Present,,Original
THE PRICE 2017,American Airlines,2017-02-04,5869,636683,8,0,0.99,The Price 2017,The Price ,2017,Rerun
THE PRICE 2017,American Airlines,2017-02-19,2944,280192,0,4,0.99,The Price 2017,The Price ,2017,Rerun
THE PRICE 2017,American Airlines,2017-02-26,5904,544177,0,8,1.00,The Price 2017,The Price ,2017,Rerun
THE PRICE 2017,American Airlines,2017-03-19,5867,493553,5,3,0.99,The Price 2017,The Price ,2017,Rerun
THE PRICE 2017,American Airlines,2017-03-26,5894,564874,8,0,1.00,The Price 2017,The Price ,2017,Rerun
THE PRICE 2017,American Airlines,2017-04-16,5897,662644,8,0,1.00,The Price 2017,The Price ,2017,Rerun
THE PRICE 2017,American Airlines,2017-04-23,5924,628774,8,0,1.00,The Price 2017,The Price ,2017,Rerun
THE PRICE 2017,American Airlines,2017-04-30,5926,578894,8,0,1.00,The Price 2017,The Price ,2017,Rerun
THE PRICE 2017,American Airlines,2017-05-03,5869,568805,0,8,0.99,The Price 2017,The Price ,2017,Rerun
THE PRICE 2017,American Airlines,2017-05-14,5990,773910,8,0,1.01,The Price 2017,The Price ,2017,Rerun
THE PRICE 2017,American Airlines,2017-07-05,5917,645810,8,0,1.00,The Price 2017,The Price ,2017,Rerun
THE PRICE 2017,American Airlines,2017-09-04,5910,635352,8,0,1.00,The Price 2017,The Price ,2017,Rerun
THE PRICE 2017,American Airlines,2017-12-03,5992,533111,0,8,1.01,The Price 2017,The Price ,2017,Rerun
THE PROM,Longacre,2018-10-28,6385,343855,0,7,0.90,The Prom,The Prom,,Original
THE PROM,Longacre,2018-11-04,6484,316384,0,7,0.91,The Prom,The Prom,,Original
THE PROM,Longacre,2018-11-11,5795,323083,0,6,0.95,The Prom,The Prom,,Original
THE PROM,Longacre,2018-11-18,7070,401844,5,3,0.87,The Prom,The Prom,,Original
THE PROM,Longacre,2018-11-25,6131,564584,8,0,0.73,The Prom,The Prom,,Original
THE PROM,Longacre,2018-12-02,6640,556473,8,0,0.79,The Prom,The Prom,,Original
THE PROM,Longacre,2018-12-09,6756,588277,8,0,0.81,The Prom,The Prom,,Original
THE PROM,Longacre,2018-12-16,6557,600030,8,0,0.78,The Prom,The Prom,,Original
THE PROM,Longacre,2018-12-23,6363,583381,8,0,0.76,The Prom,The Prom,,Original
THE PROM,Longacre,2018-12-30,8876,936582,9,0,0.94,The Prom,The Prom,,Original
THE PROM,Longacre,2019-01-06,7139,617817,8,0,0.85,The Prom,The Prom,,Original
THE PROM,Longacre,2019-01-13,7130,623623,8,0,0.85,The Prom,The Prom,,Original
THE PROM,Longacre,2019-01-20,7172,619202,8,0,0.86,The Prom,The Prom,,Original
THE PROM,Longacre,2019-01-27,6590,567414,8,0,0.79,The Prom,The Prom,,Original
THE PROM,Longacre,2019-02-03,6243,500132,8,0,0.75,The Prom,The Prom,,Original
THE PROM,Longacre,2019-02-10,6802,527155,8,0,0.81,The Prom,The Prom,,Original
THE PROM,Longacre,2019-02-17,7284,581462,8,0,0.87,The Prom,The Prom,,Original
THE PROM,Longacre,2019-02-24,6708,521142,8,0,0.80,The Prom,The Prom,,Original
THE PROM,Longacre,2019-03-03,5810,415935,8,0,0.69,The Prom,The Prom,,Original
THE PROM,Longacre,2019-03-10,6415,477918,8,0,0.77,The Prom,The Prom,,Original
THE PROM,Longacre,2019-03-17,6922,533392,8,0,0.83,The Prom,The Prom,,Original
THE PROM,Longacre,2019-03-24,6971,573649,8,0,0.83,The Prom,The Prom,,Original
THE PROM,Longacre,2019-03-31,6927,580102,8,0,0.83,The Prom,The Prom,,Original
THE PROM,Longacre,2019-04-07,6500,532455,8,0,0.78,The Prom,The Prom,,Original
THE PROM,Longacre,2019-04-14,6773,601260,8,0,0.81,The Prom,The Prom,,Original
THE PROM,Longacre,2019-04-21,7546,659804,8,0,0.90,The Prom,The Prom,,Original
THE PROM,Longacre,2019-04-28,7421,615458,8,0,0.89,The Prom,The Prom,,Original
THE PROM,Longacre,2019-05-05,6594,527886,8,0,0.79,The Prom,The Prom,,Original
THE PROM,Longacre,2019-05-12,6829,583781,8,0,0.82,The Prom,The Prom,,Original
THE PROM,Longacre,2019-05-19,7767,627990,8,0,0.93,The Prom,The Prom,,Original
THE PROM,Longacre,2019-05-26,7068,640384,8,0,0.85,The Prom,The Prom,,Original
THE PROM,Longacre,2019-06-02,6949,602277,8,0,0.83,The Prom,The Prom,,Original
THE PROM,Longacre,2019-06-09,7543,683432,8,0,0.90,The Prom,The Prom,,Original
THE PROM,Longacre,2019-06-16,6968,638365,8,0,0.83,The Prom,The Prom,,Original
THE PROM,Longacre,2019-06-23,7448,700279,8,0,0.89,The Prom,The Prom,,Original
THE PROM,Longacre,2019-06-30,7930,770552,8,0,0.95,The Prom,The Prom,,Original
THE PROM,Longacre,2019-07-07,7646,654288,8,0,0.91,The Prom,The Prom,,Original
THE PROM,Longacre,2019-07-14,6885,621643,7,0,0.94,The Prom,The Prom,,Original
THE PROM,Longacre,2019-07-21,7861,737373,8,0,0.94,The Prom,The Prom,,Original
THE PROM,Longacre,2019-07-28,7830,735823,8,0,0.94,The Prom,The Prom,,Original
THE PROM,Longacre,2019-08-04,8151,809522,8,0,0.98,The Prom,The Prom,,Original
THE PROM,Longacre,2019-08-11,8308,916256,8,0,0.99,The Prom,The Prom,,Original
THE ROSE TATTOO 2019,American Airlines,2019-09-22,2112,160063,0,3,0.98,The Rose Tattoo 2019,The Rose Tattoo ,2019,Rerun
THE ROSE TATTOO 2019,American Airlines,2019-09-29,4825,402652,0,8,0.84,The Rose Tattoo 2019,The Rose Tattoo ,2019,Rerun
THE ROSE TATTOO 2019,American Airlines,2019-10-06,5219,428036,0,8,0.90,The Rose Tattoo 2019,The Rose Tattoo ,2019,Rerun
THE ROSE TATTOO 2019,American Airlines,2019-10-13,5607,472590,0,8,0.97,The Rose Tattoo 2019,The Rose Tattoo ,2019,Rerun
THE ROSE TATTOO 2019,American Airlines,2019-10-20,4936,401815,7,0,0.98,The Rose Tattoo 2019,The Rose Tattoo ,2019,Rerun
THE ROSE TATTOO 2019,American Airlines,2019-10-27,5321,488030,8,0,0.92,The Rose Tattoo 2019,The Rose Tattoo ,2019,Rerun
THE ROSE TATTOO 2019,American Airlines,2019-11-03,5329,494501,8,0,0.92,The Rose Tattoo 2019,The Rose Tattoo ,2019,Rerun
THE ROSE TATTOO 2019,American Airlines,2019-11-10,5384,509255,8,0,0.93,The Rose Tattoo 2019,The Rose Tattoo ,2019,Rerun
THE ROSE TATTOO 2019,American Airlines,2019-11-17,5387,507190,8,0,0.93,The Rose Tattoo 2019,The Rose Tattoo ,2019,Rerun
THE ROSE TATTOO 2019,American Airlines,2019-11-24,5407,481549,8,0,0.94,The Rose Tattoo 2019,The Rose Tattoo ,2019,Rerun
THE ROSE TATTOO 2019,American Airlines,2019-12-01,5478,508849,8,0,0.95,The Rose Tattoo 2019,The Rose Tattoo ,2019,Rerun
THE ROSE TATTOO 2019,American Airlines,2019-12-08,5499,547690,8,0,0.95,The Rose Tattoo 2019,The Rose Tattoo ,2019,Rerun
THE SOUND INSIDE,Studio 54,2019-09-15,1808,152426,0,2,0.91,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2019-09-22,5644,412733,0,8,0.71,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2019-09-29,5427,395520,0,8,0.68,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2019-10-06,5337,412475,0,8,0.67,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2019-10-13,5596,428406,0,8,0.70,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2019-10-20,6436,489910,5,3,0.81,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2019-10-27,5710,544698,8,0,0.72,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2019-11-03,5332,514429,8,0,0.67,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2019-11-10,5840,589439,8,0,0.73,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2019-11-17,5231,524607,8,0,0.66,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2019-11-24,5062,472833,8,0,0.63,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2019-12-01,4678,395881,7,0,0.67,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2019-12-08,5665,537393,8,0,0.71,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2019-12-15,5405,500060,8,0,0.68,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2019-12-22,5153,400572,8,0,0.65,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2019-12-29,5665,479367,8,0,0.71,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2020-01-05,5511,447916,8,0,0.69,The Sound Inside,The Sound Inside,,Original
THE SOUND INSIDE,Studio 54,2020-01-12,6671,630651,8,0,0.84,The Sound Inside,The Sound Inside,,Original
THE TERMS OF MY SURRENDER,Belasco,2017-01-10,5982,261107,8,0,0.74,The Terms of My Surrender,The Terms of My Surrender,,Original
THE TERMS OF MY SURRENDER,Belasco,2017-03-09,5139,304916,7,0,0.73,The Terms of My Surrender,The Terms of My Surrender,,Original
THE TERMS OF MY SURRENDER,Belasco,2017-06-08,6698,456195,0,7,0.95,The Terms of My Surrender,The Terms of My Surrender,,Original
THE TERMS OF MY SURRENDER,Belasco,2017-07-30,1978,199041,0,2,0.98,The Terms of My Surrender,The Terms of My Surrender,,Original
THE TERMS OF MY SURRENDER,Belasco,2017-08-10,6545,291670,8,0,0.81,The Terms of My Surrender,The Terms of My Surrender,,Original
THE TERMS OF MY SURRENDER,Belasco,2017-08-13,7008,407527,4,4,0.87,The Terms of My Surrender,The Terms of My Surrender,,Original
THE TERMS OF MY SURRENDER,Belasco,2017-08-20,6331,410588,8,0,0.79,The Terms of My Surrender,The Terms of My Surrender,,Original
THE TERMS OF MY SURRENDER,Belasco,2017-08-27,5697,353935,8,0,0.71,The Terms of My Surrender,The Terms of My Surrender,,Original
THE TERMS OF MY SURRENDER,Belasco,2017-09-17,5788,308614,8,0,0.72,The Terms of My Surrender,The Terms of My Surrender,,Original
THE TERMS OF MY SURRENDER,Belasco,2017-09-24,5638,260295,8,0,0.70,The Terms of My Surrender,The Terms of My Surrender,,Original
THE TERMS OF MY SURRENDER,Belasco,2017-10-09,5233,291912,8,0,0.65,The Terms of My Surrender,The Terms of My Surrender,,Original
THE TERMS OF MY SURRENDER,Belasco,2017-10-15,6195,296116,8,0,0.77,The Terms of My Surrender,The Terms of My Surrender,,Original
THE TERMS OF MY SURRENDER,Belasco,2017-10-22,6252,367634,8,0,0.78,The Terms of My Surrender,The Terms of My Surrender,,Original
THE WAVERLY GALLERY,Golden,2018-09-30,4208,307718,0,6,0.89,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2018-10-07,5102,361162,0,7,0.93,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2018-10-14,5002,379302,0,8,0.79,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2018-10-21,6076,393430,0,8,0.97,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2018-10-28,6250,422756,5,3,0.99,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2018-11-04,5445,451689,8,0,0.86,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2018-11-11,5426,491942,8,0,0.86,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2018-11-18,5079,474892,8,0,0.81,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2018-11-25,5321,421076,8,0,0.85,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2018-12-02,5339,448635,8,0,0.85,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2018-12-09,5738,458292,8,0,0.91,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2018-12-16,5608,420172,8,0,0.89,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2018-12-23,5174,363740,8,0,0.82,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2018-12-30,6189,463000,9,0,0.87,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2019-01-06,4865,345186,7,0,0.88,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2019-01-13,6081,440854,8,0,0.97,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2019-01-20,6029,467164,8,0,0.96,The Waverly Gallery,The Waverly Gallery,,Original
THE WAVERLY GALLERY,Golden,2019-01-27,6109,557652,8,0,0.97,The Waverly Gallery,The Waverly Gallery,,Original
THÉRÈSE RAQUIN,Studio 54,2016-03-01,5452,370028,7,0,0.76,Thérèse Raquin,Thérèse Raquin,,Original
THREE TALL WOMEN,Golden,2018-03-04,2889,283296,0,4,0.92,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-03-11,5179,497066,0,7,0.94,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-03-18,6242,622411,0,8,0.99,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-03-25,6033,601577,0,8,0.96,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-04-01,6296,599626,5,3,1.00,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-04-08,6296,779656,8,0,1.00,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-04-15,6296,812601,8,0,1.00,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-04-22,6296,853774,8,0,1.00,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-04-29,6296,871551,8,0,1.00,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-05-06,6296,908889,8,0,1.00,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-05-13,6296,923374,8,0,1.00,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-05-20,6296,908569,8,0,1.00,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-05-27,6296,940363,8,0,1.00,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-06-03,6298,955304,8,0,1.00,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-06-10,6296,994258,8,0,1.00,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-06-17,6298,1077919,8,0,1.00,Three Tall Women,Three Tall Women,,Original
THREE TALL WOMEN,Golden,2018-06-24,7083,1275918,9,0,1.00,Three Tall Women,Three Tall Women,,Original
TIME AND THE CONWAYS,American Airlines,2017-01-10,4805,297651,0,8,0.82,Time and the Conways,Time and the Conways,,Original
TIME AND THE CONWAYS,American Airlines,2017-05-11,4435,294552,8,0,0.76,Time and the Conways,Time and the Conways,,Original
TIME AND THE CONWAYS,American Airlines,2017-08-10,5342,319859,0,8,0.91,Time and the Conways,Time and the Conways,,Original
TIME AND THE CONWAYS,American Airlines,2017-09-17,1772,92816,0,3,0.80,Time and the Conways,Time and the Conways,,Original
TIME AND THE CONWAYS,American Airlines,2017-09-24,4605,264917,0,8,0.78,Time and the Conways,Time and the Conways,,Original
TIME AND THE CONWAYS,American Airlines,2017-10-15,5384,294510,8,0,0.92,Time and the Conways,Time and the Conways,,Original
TIME AND THE CONWAYS,American Airlines,2017-10-22,4833,356265,8,0,0.82,Time and the Conways,Time and the Conways,,Original
TIME AND THE CONWAYS,American Airlines,2017-10-29,4589,321440,8,0,0.78,Time and the Conways,Time and the Conways,,Original
TIME AND THE CONWAYS,American Airlines,2017-11-19,4908,294747,8,0,0.84,Time and the Conways,Time and the Conways,,Original
TIME AND THE CONWAYS,American Airlines,2017-11-26,4018,255478,8,0,0.68,Time and the Conways,Time and the Conways,,Original
TIME AND THE CONWAYS,American Airlines,2017-12-11,4929,356453,8,0,0.84,Time and the Conways,Time and the Conways,,Original
TINA - THE TINA TURNER MUSICAL,Lunt-Fontanne,2019-10-13,1476,212998,0,1,1.00,Tina - The Tina Turner Musical,Tina - The Tina Turner Musical,,Original
TINA - THE TINA TURNER MUSICAL,Lunt-Fontanne,2019-10-20,10346,1386360,0,7,1.00,Tina - The Tina Turner Musical,Tina - The Tina Turner Musical,,Original
TINA - THE TINA TURNER MUSICAL,Lunt-Fontanne,2019-10-27,10346,1371009,0,7,1.00,Tina - The Tina Turner Musical,Tina - The Tina Turner Musical,,Original
TINA - THE TINA TURNER MUSICAL,Lunt-Fontanne,2019-11-03,11824,1463622,0,8,1.00,Tina - The Tina Turner Musical,Tina - The Tina Turner Musical,,Original
TINA - THE TINA TURNER MUSICAL,Lunt-Fontanne,2019-11-10,11860,1332425,4,4,1.00,Tina - The Tina Turner Musical,Tina - The Tina Turner Musical,,Original
TINA - THE TINA TURNER MUSICAL,Lunt-Fontanne,2019-11-17,11901,1497521,8,0,1.01,Tina - The Tina Turner Musical,Tina - The Tina Turner Musical,,Original
TINA - THE TINA TURNER MUSICAL,Lunt-Fontanne,2019-11-24,11911,1607079,8,0,1.01,Tina - The Tina Turner Musical,Tina - The Tina Turner Musical,,Original
TINA - THE TINA TURNER MUSICAL,Lunt-Fontanne,2019-12-01,11909,1834636,8,0,1.01,Tina - The Tina Turner Musical,Tina - The Tina Turner Musical,,Original
TINA - THE TINA TURNER MUSICAL,Lunt-Fontanne,2019-12-08,11917,1654353,8,0,1.01,Tina - The Tina Turner Musical,Tina - The Tina Turner Musical,,Original
TINA - THE TINA TURNER MUSICAL,Lunt-Fontanne,2019-12-15,11903,1666857,8,0,1.01,Tina - The Tina Turner Musical,Tina - The Tina Turner Musical,,Original
TINA - THE TINA TURNER MUSICAL,Lunt-Fontanne,2019-12-22,11861,1701255,8,0,1.00,Tina - The Tina Turner Musical,Tina - The Tina Turner Musical,,Original
