Level_Type,Area_Type,Area_Name,Borough,Month,Median_Rent
Detail,neighborhood,Country Club,Bronx,2010-03,
Detail,neighborhood,Crotona Park East,Bronx,2010-03,
Detail,neighborhood,East Tremont,Bronx,2010-03,
Detail,neighborhood,Eastchester,Bronx,2010-03,
Detail,neighborhood,Edenwald,Bronx,2010-03,
Detail,neighborhood,Fordham,Bronx,2010-03,
Detail,neighborhood,Highbridge,Bronx,2010-03,1125
Detail,neighborhood,Hunts Point,Bronx,2010-03,
Detail,neighborhood,Kingsbridge,Bronx,2010-03,1300
Detail,neighborhood,Laconia,Bronx,2010-03,
Detail,neighborhood,Longwood,Bronx,2010-03,
Detail,neighborhood,Melrose,Bronx,2010-03,
Detail,neighborhood,Morris Heights,Bronx,2010-03,
Detail,neighborhood,Morris Park,Bronx,2010-03,
Detail,neighborhood,Morrisania,Bronx,2010-03,
Detail,neighborhood,Mott Haven,Bronx,2010-03,
Detail,neighborhood,Norwood,Bronx,2010-03,
Detail,neighborhood,Parkchester,Bronx,2010-03,
Detail,neighborhood,Pelham Bay,Bronx,2010-03,
Detail,neighborhood,Pelham Gardens,Bronx,2010-03,
Detail,neighborhood,Pelham Parkway,Bronx,2010-03,
Detail,neighborhood,Port Morris,Bronx,2010-03,
Detail,neighborhood,Riverdale,Bronx,2010-03,1675
Detail,neighborhood,Schuylerville,Bronx,2010-03,
Detail,neighborhood,Soundview,Bronx,2010-03,
Detail,neighborhood,Throgs Neck,Bronx,2010-03,
Detail,neighborhood,Tremont,Bronx,2010-03,
Detail,neighborhood,University Heights,Bronx,2010-03,
Detail,neighborhood,Van Nest,Bronx,2010-03,
Detail,neighborhood,Wakefield,Bronx,2010-03,
Detail,neighborhood,Westchester Village,Bronx,2010-03,
Detail,neighborhood,Williamsbridge,Bronx,2010-03,
Detail,neighborhood,Woodlawn,Bronx,2010-03,
Detail,neighborhood,Woodstock,Bronx,2010-03,
Aggregation,borough,All Bronx,Bronx,2010-04,1508
Detail,neighborhood,Baychester,Bronx,2010-04,
Detail,neighborhood,Bedford Park,Bronx,2010-04,
Detail,neighborhood,Belmont,Bronx,2010-04,
Detail,neighborhood,Bronxwood,Bronx,2010-04,
Detail,neighborhood,Castle Hill,Bronx,2010-04,
Detail,neighborhood,City Island,Bronx,2010-04,
Detail,neighborhood,Co-op City,Bronx,2010-04,
Detail,neighborhood,Concourse,Bronx,2010-04,1373
Detail,neighborhood,Country Club,Bronx,2010-04,
Detail,neighborhood,Crotona Park East,Bronx,2010-04,
Detail,neighborhood,East Tremont,Bronx,2010-04,
Detail,neighborhood,Eastchester,Bronx,2010-04,
Detail,neighborhood,Edenwald,Bronx,2010-04,
Detail,neighborhood,Fordham,Bronx,2010-04,
Detail,neighborhood,Highbridge,Bronx,2010-04,
Detail,neighborhood,Hunts Point,Bronx,2010-04,
Detail,neighborhood,Kingsbridge,Bronx,2010-04,1300
Detail,neighborhood,Laconia,Bronx,2010-04,
Detail,neighborhood,Longwood,Bronx,2010-04,
Detail,neighborhood,Melrose,Bronx,2010-04,
Detail,neighborhood,Morris Heights,Bronx,2010-04,
Detail,neighborhood,Morris Park,Bronx,2010-04,
Detail,neighborhood,Morrisania,Bronx,2010-04,
Detail,neighborhood,Mott Haven,Bronx,2010-04,
Detail,neighborhood,Norwood,Bronx,2010-04,
Detail,neighborhood,Parkchester,Bronx,2010-04,
Detail,neighborhood,Pelham Bay,Bronx,2010-04,
Detail,neighborhood,Pelham Gardens,Bronx,2010-04,
Detail,neighborhood,Pelham Parkway,Bronx,2010-04,
Detail,neighborhood,Port Morris,Bronx,2010-04,
Detail,neighborhood,Riverdale,Bronx,2010-04,1800
Detail,neighborhood,Schuylerville,Bronx,2010-04,
Detail,neighborhood,Soundview,Bronx,2010-04,
Detail,neighborhood,Throgs Neck,Bronx,2010-04,
Detail,neighborhood,Tremont,Bronx,2010-04,
Detail,neighborhood,University Heights,Bronx,2010-04,
Detail,neighborhood,Van Nest,Bronx,2010-04,
Detail,neighborhood,Wakefield,Bronx,2010-04,
Detail,neighborhood,Westchester Village,Bronx,2010-04,
Detail,neighborhood,Williamsbridge,Bronx,2010-04,
Detail,neighborhood,Woodlawn,Bronx,2010-04,
Detail,neighborhood,Woodstock,Bronx,2010-04,
